time,PNG,X,Y,left,right,lclick,rclick,return,space,escape,up,down,pageup,pagedown,control
1485,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
1500,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
1516,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
1531,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
1547,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
1563,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
1578,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
1594,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
1610,1,368,570,0,0,0,0,0,0,0,0,0,0,0,0
1656,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
1672,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
1688,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
1703,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
1719,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
1735,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
1750,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
1766,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
1781,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
1797,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
1813,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
1828,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
1844,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
1860,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
1875,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
1891,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
1906,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
1922,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
1938,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
1953,1,368,570,0,0,0,0,0,0,0,0,0,0,0,0
1985,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2000,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2016,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2031,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2047,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2063,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2078,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2094,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2110,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2125,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2141,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2156,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2172,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2188,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2203,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2219,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2235,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2250,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2266,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2281,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2297,1,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2328,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2344,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2360,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2375,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2391,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2406,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2422,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2438,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2453,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2469,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2485,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2500,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2516,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2531,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2547,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2563,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2578,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2594,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2610,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2625,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2641,1,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2688,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2703,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2719,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2735,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2750,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2766,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2781,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2797,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2813,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2828,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2844,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2860,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2875,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2891,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2906,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2922,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2938,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2953,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2969,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
2985,1,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3016,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3031,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3047,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3063,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3078,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3094,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3110,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3125,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3141,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3156,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3172,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3188,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3203,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3219,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3235,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3250,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3266,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3281,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3297,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3313,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3328,1,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3360,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3375,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3391,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3406,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3422,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3438,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3453,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3469,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3485,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3500,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3516,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3531,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3547,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3563,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3578,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3594,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3610,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3625,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3641,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3656,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3672,1,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3719,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3735,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3750,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3766,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3781,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3797,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3813,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3828,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3844,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3860,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3875,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3891,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3906,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3922,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3938,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3953,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3969,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
3985,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
4000,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
4016,1,368,570,0,0,0,0,0,0,0,0,0,0,0,0
4047,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
4063,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
4078,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
4094,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
4110,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
4125,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
4141,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
4156,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
4172,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
4188,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
4203,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
4219,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
4235,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
4250,0,368,570,0,0,0,0,0,0,0,0,0,0,0,0
